medium_None_1_330
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                       aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us            34  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.053s
highest_None_1_330
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         1.22%     142.092ms        99.69%       11.638s     684.579ms            17  
                                            aten::addmm        63.69%        7.435s        64.68%        7.550s      12.754ms           592  
                                           aten::linear         0.14%      16.635ms        57.96%        6.766s      16.916ms           400  
                     aten::_native_multi_head_attention         0.32%      37.201ms        36.06%        4.210s      21.927ms           192  
                                               aten::mm        20.32%        2.372s        20.32%        2.372s      12.356ms           192  
                                              aten::bmm         3.94%     460.288ms         3.94%     460.320ms       1.199ms           384  
                                             aten::gelu         2.18%     254.626ms         2.18%     254.626ms       1.326ms           192  
                      aten::_transform_bias_rescale_qkv         2.04%     237.690ms         2.13%     248.724ms       1.295ms           192  
                                         aten::_softmax         1.97%     230.175ms         1.97%     230.175ms       1.199ms           192  
                                            aten::copy_         1.15%     134.661ms         1.15%     134.661ms     171.761us           784  
                                           aten::conv2d         0.00%     144.000us         0.79%      91.860ms       5.741ms            16  
                                      aten::convolution         0.00%     255.000us         0.79%      91.716ms       5.732ms            16  
                                     aten::_convolution         0.00%     319.000us         0.78%      91.461ms       5.716ms            16  
                               aten::mkldnn_convolution         0.78%      90.771ms         0.78%      91.142ms       5.696ms            16  
                                       aten::layer_norm         0.02%       2.714ms         0.73%      84.937ms     212.343us           400  
                                aten::native_layer_norm         0.64%      75.062ms         0.70%      82.223ms     205.558us           400  
                                              aten::add         0.70%      81.179ms         0.70%      81.179ms     202.947us           400  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         0.30%      35.116ms         0.30%      35.558ms       2.092ms            17  
                                       aten::contiguous         0.01%     816.000us         0.25%      29.102ms     151.573us           192  
                                            aten::clone         0.01%       1.560ms         0.24%      28.493ms     148.401us           192  
                                             aten::view         0.13%      15.519ms         0.13%      15.519ms       3.992us          3888  
                                            aten::empty         0.12%      13.664ms         0.12%      13.664ms       8.271us          1652  
                                                aten::t         0.03%       4.036ms         0.09%      10.728ms      13.684us           784  
                                        aten::transpose         0.05%       6.051ms         0.07%       8.289ms       8.493us           976  
                                          aten::reshape         0.02%       2.336ms         0.06%       6.795ms       8.667us           784  
                                           aten::narrow         0.03%       3.052ms         0.05%       6.322ms      10.398us           608  
                                              aten::cat         0.04%       4.342ms         0.04%       4.629ms     289.312us            16  
                                       aten::empty_like         0.01%       1.306ms         0.04%       4.392ms      22.875us           192  
                                       aten::as_strided         0.03%       3.815ms         0.03%       3.815ms       1.569us          2432  
                                            aten::slice         0.03%       3.155ms         0.03%       3.724ms       5.968us           624  
                                           aten::expand         0.03%       2.949ms         0.03%       3.333ms       5.482us           608  
                                          aten::permute         0.02%       1.821ms         0.02%       2.389ms      11.486us           208  
                                     aten::_unsafe_view         0.01%       1.254ms         0.01%       1.254ms       6.531us           192  
                                          aten::dropout         0.01%     842.000us         0.01%     842.000us       1.422us           592  
                                         aten::randperm         0.00%     225.000us         0.00%     461.000us     230.500us             2  
                                           aten::select         0.00%     200.000us         0.00%     206.000us      12.875us            16  
                                             aten::set_         0.00%     155.000us         0.00%     155.000us       4.559us            34  
                                          aten::detach_         0.00%     116.000us         0.00%     149.000us       4.382us            34  
                                     aten::resolve_conj         0.00%     132.000us         0.00%     132.000us       0.056us          2337  
                                      aten::as_strided_         0.00%     113.000us         0.00%     113.000us       7.062us            16  
                                                detach_         0.00%      42.000us         0.00%      42.000us       1.235us            34  
                                          aten::resize_         0.00%      25.000us         0.00%      25.000us       1.389us            18  
                                          aten::random_         0.00%      21.000us         0.00%      21.000us      21.000us             1  
                                    aten::scalar_tensor         0.00%      16.000us         0.00%      16.000us      16.000us             1  
                                           aten::detach         0.00%       4.000us         0.00%      14.000us      14.000us             1  
                                                 detach         0.00%      10.000us         0.00%      10.000us      10.000us             1  
                                             aten::item         0.00%       4.000us         0.00%       6.000us       6.000us             1  
                                               aten::to         0.00%       6.000us         0.00%       6.000us       0.171us            35  
                              aten::_local_scalar_dense         0.00%       2.000us         0.00%       2.000us       2.000us             1  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                       aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us            34  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 11.674s
highest_None_4_330
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         1.26%     151.521ms        99.64%       12.026s     707.411ms            17  
                                            aten::addmm        63.50%        7.664s        64.46%        7.780s      13.141ms           592  
                                           aten::linear         0.15%      17.744ms        57.73%        6.968s      17.419ms           400  
                     aten::_native_multi_head_attention         0.32%      38.429ms        35.94%        4.337s      22.590ms           192  
                                               aten::mm        20.23%        2.442s        20.23%        2.442s      12.719ms           192  
                                              aten::bmm         4.01%     484.183ms         4.01%     484.216ms       1.261ms           384  
                                             aten::gelu         2.30%     277.342ms         2.30%     277.342ms       1.444ms           192  
                                         aten::_softmax         1.99%     240.190ms         1.99%     240.190ms       1.251ms           192  
                      aten::_transform_bias_rescale_qkv         1.86%     223.984ms         1.97%     237.399ms       1.236ms           192  
                                            aten::copy_         1.13%     135.938ms         1.13%     135.938ms     173.390us           784  
                                           aten::conv2d         0.00%     173.000us         0.90%     108.445ms       6.778ms            16  
                                      aten::convolution         0.00%     280.000us         0.90%     108.272ms       6.767ms            16  
                                     aten::_convolution         0.00%     405.000us         0.89%     107.992ms       6.750ms            16  
                               aten::mkldnn_convolution         0.89%     107.083ms         0.89%     107.587ms       6.724ms            16  
                                       aten::layer_norm         0.02%       2.991ms         0.77%      92.971ms     232.428us           400  
                                aten::native_layer_norm         0.68%      82.041ms         0.75%      89.980ms     224.950us           400  
                                              aten::add         0.69%      82.886ms         0.69%      82.886ms     207.215us           400  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         0.35%      41.860ms         0.35%      42.344ms       2.491ms            17  
                                       aten::contiguous         0.01%     779.000us         0.26%      31.561ms     164.380us           192  
                                            aten::clone         0.01%       1.652ms         0.26%      30.919ms     161.036us           192  
                                             aten::view         0.14%      17.384ms         0.14%      17.384ms       4.471us          3888  
                                            aten::empty         0.13%      16.002ms         0.13%      16.002ms       9.686us          1652  
                                                aten::t         0.04%       4.290ms         0.10%      11.603ms      14.800us           784  
                                        aten::transpose         0.05%       6.372ms         0.07%       8.866ms       9.084us           976  
                                          aten::reshape         0.02%       2.613ms         0.06%       7.677ms       9.792us           784  
                                           aten::narrow         0.03%       3.552ms         0.06%       7.042ms      11.582us           608  
                                              aten::cat         0.04%       5.418ms         0.05%       5.755ms     359.688us            16  
                                       aten::empty_like         0.01%       1.405ms         0.04%       5.044ms      26.271us           192  
                                       aten::as_strided         0.04%       4.593ms         0.04%       4.593ms       1.889us          2432  
                                           aten::expand         0.03%       3.245ms         0.03%       3.920ms       6.447us           608  
                                            aten::slice         0.03%       3.247ms         0.03%       3.909ms       6.264us           624  
                                          aten::permute         0.01%       1.781ms         0.02%       2.507ms      12.053us           208  
                                     aten::_unsafe_view         0.01%       1.281ms         0.01%       1.281ms       6.672us           192  
                                          aten::dropout         0.01%     908.000us         0.01%     908.000us       1.534us           592  
                                         aten::randperm         0.00%     335.000us         0.01%     710.000us     355.000us             2  
                                           aten::select         0.00%     218.000us         0.00%     225.000us      14.062us            16  
                                          aten::detach_         0.00%     137.000us         0.00%     185.000us       5.441us            34  
                                             aten::set_         0.00%     160.000us         0.00%     160.000us       4.706us            34  
                                     aten::resolve_conj         0.00%     148.000us         0.00%     148.000us       0.063us          2337  
                                      aten::as_strided_         0.00%     120.000us         0.00%     120.000us       7.500us            16  
                                                detach_         0.00%      49.000us         0.00%      49.000us       1.441us            34  
                                          aten::random_         0.00%      41.000us         0.00%      41.000us      41.000us             1  
                                    aten::scalar_tensor         0.00%      41.000us         0.00%      41.000us      41.000us             1  
                                          aten::resize_         0.00%      29.000us         0.00%      29.000us       1.611us            18  
                                           aten::detach         0.00%       7.000us         0.00%      19.000us      19.000us             1  
                                             aten::item         0.00%       9.000us         0.00%      12.000us      12.000us             1  
                                                 detach         0.00%      12.000us         0.00%      12.000us      12.000us             1  
                                               aten::to         0.00%       8.000us         0.00%       8.000us       0.229us            35  
                              aten::_local_scalar_dense         0.00%       3.000us         0.00%       3.000us       3.000us             1  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                       aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us            34  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 12.069s
highest_x86_1_109
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         2.54%     225.109ms        99.59%        8.821s     518.853ms            17  
                     aten::_native_multi_head_attention         0.40%      35.210ms        48.09%        4.259s      22.182ms           192  
                                      quantized::linear        41.20%        3.649s        41.32%        3.660s       9.150ms           400  
                                               aten::mm        26.85%        2.378s        26.85%        2.378s      12.388ms           192  
                                            aten::addmm         9.35%     828.420ms         9.66%     855.746ms       4.457ms           192  
                                              aten::bmm         5.24%     464.518ms         5.25%     464.562ms       1.210ms           384  
                                             aten::gelu         2.80%     247.902ms         2.80%     247.902ms       1.291ms           192  
                      aten::_transform_bias_rescale_qkv         2.65%     234.576ms         2.79%     247.393ms       1.289ms           192  
                                         aten::_softmax         2.62%     232.185ms         2.62%     232.185ms       1.209ms           192  
                                       aten::dequantize         1.12%      99.598ms         1.23%     109.380ms     166.738us           656  
                                  quantized::layer_norm         1.19%     105.825ms         1.23%     108.955ms     272.387us           400  
                              aten::quantize_per_tensor         1.04%      92.376ms         1.08%      95.538ms     205.901us           464  
                                         quantized::add         0.57%      50.500ms         0.63%      55.668ms     139.170us           400  
                                            aten::copy_         0.55%      48.986ms         0.55%      48.986ms     127.568us           384  
                                      quantized::conv2d         0.47%      41.867ms         0.51%      45.509ms       2.844ms            16  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         0.40%      35.591ms         0.41%      36.016ms       2.119ms            17  
                                       aten::contiguous         0.02%       1.724ms         0.37%      32.958ms     158.452us           208  
                                            aten::clone         0.06%       5.008ms         0.36%      32.316ms     155.365us           208  
                                            aten::empty         0.25%      22.523ms         0.25%      22.523ms      15.096us          1492  
                                             aten::item         0.12%      10.427ms         0.14%      12.183ms       4.879us          2497  
                          aten::_empty_affine_quantized         0.10%       9.070ms         0.10%       9.070ms       7.362us          1232  
                                              aten::cat         0.03%       2.913ms         0.09%       8.374ms     261.688us            32  
                                           aten::narrow         0.04%       3.511ms         0.08%       6.713ms      11.655us           576  
                                                aten::t         0.02%       1.419ms         0.05%       4.780ms      12.448us           384  
                                             aten::view         0.05%       4.774ms         0.05%       4.774ms       2.072us          2304  
                                        aten::transpose         0.04%       3.516ms         0.05%       4.762ms       8.267us           576  
                                       aten::empty_like         0.02%       1.350ms         0.05%       4.520ms      23.542us           192  
                                          aten::resize_         0.05%       4.104ms         0.05%       4.104ms      10.209us           402  
                                            aten::slice         0.03%       2.977ms         0.04%       3.546ms       5.990us           592  
                                       aten::as_strided         0.03%       2.727ms         0.03%       2.727ms       1.704us          1600  
                                          aten::permute         0.02%       1.659ms         0.03%       2.360ms      11.346us           208  
                                          aten::reshape         0.02%       1.602ms         0.03%       2.328ms       5.820us           400  
                              aten::_local_scalar_dense         0.02%       1.827ms         0.02%       1.827ms       0.732us          2497  
                                           aten::expand         0.01%       1.062ms         0.01%       1.244ms       5.981us           208  
                                     aten::_unsafe_view         0.01%       1.215ms         0.01%       1.215ms       6.328us           192  
                                     aten::q_zero_point         0.01%     689.000us         0.01%     689.000us       0.278us          2480  
                                          aten::q_scale         0.01%     671.000us         0.01%     671.000us       0.271us          2480  
                                          aten::qscheme         0.01%     669.000us         0.01%     669.000us       0.492us          1360  
                                         aten::randperm         0.00%     234.000us         0.01%     461.000us     230.500us             2  
                                           aten::select         0.00%     202.000us         0.00%     209.000us      13.062us            16  
                                   aten::_reshape_alias         0.00%     168.000us         0.00%     168.000us      10.500us            16  
                                          aten::detach_         0.00%     115.000us         0.00%     152.000us       4.471us            34  
                                             aten::set_         0.00%     150.000us         0.00%     150.000us       4.412us            34  
                                     aten::resolve_conj         0.00%      71.000us         0.00%      71.000us       0.046us          1537  
                                                detach_         0.00%      39.000us         0.00%      39.000us       1.147us            34  
                                          aten::random_         0.00%      24.000us         0.00%      24.000us      24.000us             1  
                                           aten::detach         0.00%       4.000us         0.00%      21.000us      21.000us             1  
                                                 detach         0.00%      17.000us         0.00%      17.000us      17.000us             1  
                                    aten::scalar_tensor         0.00%       9.000us         0.00%       9.000us       9.000us             1  
                                               aten::to         0.00%       6.000us         0.00%       6.000us       0.171us            35  
                                       aten::lift_fresh         0.00%       1.000us         0.00%       1.000us       0.029us            34  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.857s
highest_x86_4_109
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         2.65%     220.342ms        99.56%        8.282s     487.203ms            17  
                     aten::_native_multi_head_attention         0.39%      32.533ms        48.24%        4.013s      20.901ms           192  
                                      quantized::linear        40.74%        3.389s        40.85%        3.398s       8.496ms           400  
                                               aten::mm        27.31%        2.272s        27.31%        2.272s      11.833ms           192  
                                            aten::addmm         9.30%     773.537ms         9.62%     800.558ms       4.170ms           192  
                                              aten::bmm         5.01%     417.050ms         5.01%     417.073ms       1.086ms           384  
                      aten::_transform_bias_rescale_qkv         2.79%     232.162ms         2.92%     242.884ms       1.265ms           192  
                                             aten::gelu         2.82%     234.337ms         2.82%     234.337ms       1.221ms           192  
                                         aten::_softmax         2.51%     208.816ms         2.51%     208.816ms       1.088ms           192  
                                  quantized::layer_norm         1.23%     102.584ms         1.27%     105.678ms     264.195us           400  
                                       aten::dequantize         1.12%      92.834ms         1.21%     100.529ms     153.245us           656  
                              aten::quantize_per_tensor         1.09%      90.854ms         1.13%      93.921ms     202.416us           464  
                                         quantized::add         0.60%      49.668ms         0.67%      55.379ms     138.447us           400  
                                      quantized::conv2d         0.52%      42.888ms         0.56%      46.749ms       2.922ms            16  
                                            aten::copy_         0.55%      45.363ms         0.55%      45.363ms     118.133us           384  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         0.43%      35.570ms         0.43%      35.967ms       2.116ms            17  
                                       aten::contiguous         0.02%       1.658ms         0.34%      28.459ms     136.822us           208  
                                            aten::clone         0.06%       4.925ms         0.34%      27.901ms     134.139us           208  
                                            aten::empty         0.21%      17.849ms         0.21%      17.849ms      11.963us          1492  
                                             aten::item         0.13%      10.534ms         0.15%      12.305ms       4.928us          2497  
                          aten::_empty_affine_quantized         0.12%       9.845ms         0.12%       9.845ms       7.991us          1232  
                                              aten::cat         0.04%       3.281ms         0.11%       9.444ms     295.125us            32  
                                           aten::narrow         0.04%       3.043ms         0.07%       5.624ms       9.764us           576  
                                        aten::transpose         0.04%       3.281ms         0.05%       4.542ms       7.885us           576  
                                                aten::t         0.02%       1.397ms         0.05%       4.343ms      11.310us           384  
                                             aten::view         0.05%       3.916ms         0.05%       3.916ms       1.700us          2304  
                                       aten::empty_like         0.02%       1.275ms         0.04%       3.486ms      18.156us           192  
                                          aten::resize_         0.04%       3.466ms         0.04%       3.466ms       8.622us           402  
                                            aten::slice         0.03%       2.434ms         0.03%       2.904ms       4.905us           592  
                                       aten::as_strided         0.03%       2.560ms         0.03%       2.560ms       1.600us          1600  
                                          aten::permute         0.02%       1.569ms         0.03%       2.184ms      10.500us           208  
                                          aten::reshape         0.02%       1.384ms         0.02%       2.074ms       5.185us           400  
                              aten::_local_scalar_dense         0.02%       1.853ms         0.02%       1.853ms       0.742us          2497  
                                           aten::expand         0.01%       1.085ms         0.02%       1.252ms       6.019us           208  
                                     aten::_unsafe_view         0.01%       1.184ms         0.01%       1.184ms       6.167us           192  
                                         aten::randperm         0.00%     371.000us         0.01%     731.000us     365.500us             2  
                                     aten::q_zero_point         0.01%     699.000us         0.01%     699.000us       0.282us          2480  
                                          aten::q_scale         0.01%     683.000us         0.01%     683.000us       0.275us          2480  
                                          aten::qscheme         0.01%     661.000us         0.01%     661.000us       0.486us          1360  
                                           aten::select         0.00%     252.000us         0.00%     259.000us      16.188us            16  
                                   aten::_reshape_alias         0.00%     161.000us         0.00%     161.000us      10.062us            16  
                                          aten::detach_         0.00%     122.000us         0.00%     154.000us       4.529us            34  
                                             aten::set_         0.00%     137.000us         0.00%     137.000us       4.029us            34  
                                     aten::resolve_conj         0.00%      38.000us         0.00%      38.000us       0.025us          1537  
                                                detach_         0.00%      33.000us         0.00%      33.000us       0.971us            34  
                                    aten::scalar_tensor         0.00%      25.000us         0.00%      25.000us      25.000us             1  
                                          aten::random_         0.00%      21.000us         0.00%      21.000us      21.000us             1  
                                           aten::detach         0.00%       6.000us         0.00%      18.000us      18.000us             1  
                                                 detach         0.00%      12.000us         0.00%      12.000us      12.000us             1  
                                               aten::to         0.00%       3.000us         0.00%       3.000us       0.086us            35  
                                      aten::resolve_neg         0.00%       1.000us         0.00%       1.000us       1.000us             1  
                                       aten::lift_fresh         0.00%       1.000us         0.00%       1.000us       0.029us            34  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.319s
highest_fbgemm_1_109
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         2.62%     222.335ms        99.62%        8.456s     497.382ms            17  
                     aten::_native_multi_head_attention         0.42%      35.516ms        48.10%        4.082s      21.261ms           192  
                                      quantized::linear        40.82%        3.465s        40.94%        3.475s       8.687ms           400  
                                               aten::mm        26.90%        2.283s        26.90%        2.283s      11.891ms           192  
                                            aten::addmm         9.14%     775.823ms         9.48%     804.598ms       4.191ms           192  
                                              aten::bmm         5.13%     435.106ms         5.13%     435.135ms       1.133ms           384  
                                             aten::gelu         3.04%     257.606ms         3.04%     257.606ms       1.342ms           192  
                      aten::_transform_bias_rescale_qkv         2.85%     241.570ms         2.99%     253.544ms       1.321ms           192  
                                         aten::_softmax         2.70%     229.195ms         2.70%     229.195ms       1.194ms           192  
                                  quantized::layer_norm         1.21%     102.587ms         1.25%     106.001ms     265.002us           400  
                                       aten::dequantize         1.12%      95.351ms         1.24%     104.861ms     159.849us           656  
                              aten::quantize_per_tensor         1.08%      91.972ms         1.12%      95.100ms     204.957us           464  
                                         quantized::add         0.59%      50.019ms         0.65%      55.354ms     138.385us           400  
                                            aten::copy_         0.57%      48.375ms         0.57%      48.375ms     125.977us           384  
                                      quantized::conv2d         0.47%      39.570ms         0.51%      43.156ms       2.697ms            16  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         0.37%      31.289ms         0.37%      31.742ms       1.867ms            17  
                                       aten::contiguous         0.01%     743.000us         0.36%      30.382ms     146.067us           208  
                                            aten::clone         0.06%       4.675ms         0.35%      29.752ms     143.038us           208  
                                            aten::empty         0.25%      21.396ms         0.25%      21.396ms      14.340us          1492  
                                             aten::item         0.13%      10.993ms         0.15%      12.726ms       5.097us          2497  
                          aten::_empty_affine_quantized         0.11%       9.754ms         0.11%       9.754ms       7.917us          1232  
                                              aten::cat         0.03%       2.869ms         0.10%       8.076ms     252.375us            32  
                                           aten::narrow         0.04%       3.167ms         0.07%       6.231ms      10.818us           576  
                                                aten::t         0.02%       1.456ms         0.05%       4.652ms      12.115us           384  
                                        aten::transpose         0.04%       3.284ms         0.05%       4.559ms       7.915us           576  
                                             aten::view         0.05%       4.453ms         0.05%       4.453ms       1.933us          2304  
                                       aten::empty_like         0.01%       1.225ms         0.05%       4.229ms      22.026us           192  
                                          aten::resize_         0.04%       3.528ms         0.04%       3.528ms       8.776us           402  
                                            aten::slice         0.03%       2.769ms         0.04%       3.414ms       5.767us           592  
                                       aten::as_strided         0.03%       2.714ms         0.03%       2.714ms       1.696us          1600  
                                          aten::permute         0.02%       1.567ms         0.03%       2.201ms      10.582us           208  
                                          aten::reshape         0.02%       1.421ms         0.03%       2.145ms       5.362us           400  
                              aten::_local_scalar_dense         0.02%       1.828ms         0.02%       1.828ms       0.732us          2497  
                                           aten::expand         0.01%       1.151ms         0.02%       1.292ms       6.212us           208  
                                     aten::_unsafe_view         0.01%       1.209ms         0.01%       1.209ms       6.297us           192  
                                          aten::qscheme         0.01%     676.000us         0.01%     676.000us       0.497us          1360  
                                     aten::q_zero_point         0.01%     675.000us         0.01%     675.000us       0.272us          2480  
                                          aten::q_scale         0.01%     665.000us         0.01%     665.000us       0.268us          2480  
                                         aten::randperm         0.00%     229.000us         0.01%     482.000us     241.000us             2  
                                           aten::select         0.00%     210.000us         0.00%     215.000us      13.438us            16  
                                          aten::detach_         0.00%     125.000us         0.00%     166.000us       4.882us            34  
                                   aten::_reshape_alias         0.00%     163.000us         0.00%     163.000us      10.188us            16  
                                             aten::set_         0.00%     161.000us         0.00%     161.000us       4.735us            34  
                                     aten::resolve_conj         0.00%      49.000us         0.00%      49.000us       0.032us          1537  
                                                detach_         0.00%      44.000us         0.00%      44.000us       1.294us            34  
                                    aten::scalar_tensor         0.00%      25.000us         0.00%      25.000us      25.000us             1  
                                          aten::random_         0.00%      20.000us         0.00%      20.000us      20.000us             1  
                                           aten::detach         0.00%       4.000us         0.00%      18.000us      18.000us             1  
                                                 detach         0.00%      14.000us         0.00%      14.000us      14.000us             1  
                                               aten::to         0.00%       7.000us         0.00%       7.000us       0.200us            35  
                                       aten::lift_fresh         0.00%       1.000us         0.00%       1.000us       0.029us            34  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.488s
highest_fbgemm_4_109
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         2.66%     221.044ms        99.27%        8.261s     485.970ms            17  
                     aten::_native_multi_head_attention         0.41%      34.028ms        47.85%        3.982s      20.740ms           192  
                                      quantized::linear        40.70%        3.387s        40.81%        3.397s       8.491ms           400  
                                               aten::mm        26.99%        2.246s        26.99%        2.246s      11.700ms           192  
                                            aten::addmm         9.26%     770.464ms         9.54%     793.927ms       4.135ms           192  
                                              aten::bmm         5.08%     423.096ms         5.08%     423.119ms       1.102ms           384  
                                             aten::gelu         2.86%     237.686ms         2.86%     237.686ms       1.238ms           192  
                      aten::_transform_bias_rescale_qkv         2.66%     221.444ms         2.79%     232.371ms       1.210ms           192  
                                         aten::_softmax         2.55%     212.160ms         2.55%     212.160ms       1.105ms           192  
                                       aten::dequantize         1.18%      98.124ms         1.27%     105.514ms     160.845us           656  
                                  quantized::layer_norm         1.22%     101.451ms         1.26%     104.570ms     261.425us           400  
                              aten::quantize_per_tensor         1.07%      89.075ms         1.11%      92.233ms     198.778us           464  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         0.72%      60.289ms         0.73%      60.697ms       3.570ms            17  
                                         quantized::add         0.59%      49.510ms         0.66%      55.175ms     137.938us           400  
                                      quantized::conv2d         0.58%      48.313ms         0.63%      52.467ms       3.279ms            16  
                                            aten::copy_         0.51%      42.638ms         0.51%      42.638ms     111.036us           384  
                                       aten::contiguous         0.02%       1.534ms         0.36%      29.711ms     142.841us           208  
                                            aten::clone         0.06%       5.292ms         0.35%      29.126ms     140.029us           208  
                                            aten::empty         0.21%      17.438ms         0.21%      17.438ms      11.688us          1492  
                                             aten::item         0.13%      10.648ms         0.15%      12.329ms       4.938us          2497  
                          aten::_empty_affine_quantized         0.12%       9.694ms         0.12%       9.694ms       7.869us          1232  
                                              aten::cat         0.04%       3.312ms         0.11%       9.132ms     285.375us            32  
                                           aten::narrow         0.04%       3.134ms         0.07%       5.943ms      10.318us           576  
                                                aten::t         0.02%       1.386ms         0.05%       4.480ms      11.667us           384  
                                        aten::transpose         0.04%       3.191ms         0.05%       4.374ms       7.594us           576  
                                             aten::view         0.05%       4.190ms         0.05%       4.190ms       1.819us          2304  
                                       aten::empty_like         0.02%       1.342ms         0.04%       3.500ms      18.229us           192  
                                          aten::resize_         0.04%       3.257ms         0.04%       3.257ms       8.102us           402  
                                            aten::slice         0.03%       2.617ms         0.04%       3.153ms       5.326us           592  
                                       aten::as_strided         0.03%       2.551ms         0.03%       2.551ms       1.594us          1600  
                                          aten::permute         0.02%       1.684ms         0.03%       2.323ms      11.168us           208  
                                          aten::reshape         0.02%       1.393ms         0.03%       2.096ms       5.240us           400  
                              aten::_local_scalar_dense         0.02%       1.776ms         0.02%       1.776ms       0.711us          2497  
                                           aten::expand         0.01%       1.113ms         0.02%       1.262ms       6.067us           208  
                                     aten::_unsafe_view         0.01%       1.173ms         0.01%       1.173ms       6.109us           192  
                                          aten::q_scale         0.01%     695.000us         0.01%     695.000us       0.280us          2480  
                                          aten::qscheme         0.01%     682.000us         0.01%     682.000us       0.501us          1360  
                                     aten::q_zero_point         0.01%     668.000us         0.01%     668.000us       0.269us          2480  
                                         aten::randperm         0.00%     260.000us         0.01%     532.000us     266.000us             2  
                                           aten::select         0.00%     205.000us         0.00%     212.000us      13.250us            16  
                                   aten::_reshape_alias         0.00%     178.000us         0.00%     178.000us      11.125us            16  
                                             aten::set_         0.00%     148.000us         0.00%     148.000us       4.353us            34  
                                          aten::detach_         0.00%     109.000us         0.00%     143.000us       4.206us            34  
                                     aten::resolve_conj         0.00%      42.000us         0.00%      42.000us       0.027us          1537  
                                                detach_         0.00%      36.000us         0.00%      36.000us       1.059us            34  
                                    aten::scalar_tensor         0.00%      20.000us         0.00%      20.000us      20.000us             1  
                                          aten::random_         0.00%      19.000us         0.00%      19.000us      19.000us             1  
                                           aten::detach         0.00%       5.000us         0.00%      16.000us      16.000us             1  
                                                 detach         0.00%      11.000us         0.00%      11.000us      11.000us             1  
                                               aten::to         0.00%       6.000us         0.00%       6.000us       0.171us            35  
                                       aten::lift_fresh         0.00%       1.000us         0.00%       1.000us       0.029us            34  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.323s
